,1/CM,TRANSMITTANCE
0,450.219,1.024
1,451.15826119999997,1.024
2,452.0975224,1.024
3,453.0367836,1.024
4,453.9760448,1.024
5,454.915306,1.024
6,455.85456719999996,1.024
7,456.7938284,1.024
8,457.73308959999997,1.024
9,458.6723508,1.026
10,459.611612,1.026
11,460.55087319999996,1.026
12,461.4901344,1.026
13,462.42939559999996,1.026
14,463.3686568,1.026
15,464.307918,1.026
16,465.2471792,1.027
17,466.1864404,1.027
18,467.1257016,1.028
19,468.0649628,1.028
20,469.004224,1.031
21,469.9434852,1.031
22,470.88274640000003,1.033
23,471.8220076,1.034
24,472.76126880000004,1.034
25,473.70053,1.036
26,474.6397912,1.037
27,475.5790524,1.037
28,476.5183136,1.037
29,477.45757480000003,1.039
30,478.396836,1.041
31,479.3360972,1.047
32,480.2753584,1.047
33,481.2146196,1.047
34,482.1538808,1.049
35,483.093142,1.05
36,484.0324032,1.05
37,484.9716644,1.05
38,485.9109256,1.052
39,486.8501868,1.054
40,487.789448,1.054
41,488.7287094,1.057
42,489.6679708,1.059
43,490.6072322,1.059
44,491.54649359999996,1.06
45,492.485755,1.06
46,493.42501619999996,1.062
47,494.3642774,1.062
48,495.30353859999997,1.062
49,496.2427998,1.062
50,497.182061,1.062
51,498.1213222,1.063
52,499.0605834,1.062
53,499.9998446,1.063
54,500.9391058,1.063
55,501.878367,1.063
56,502.8176282,1.063
57,503.75688940000003,1.063
58,504.6961506,1.065
59,505.63541180000004,1.065
60,506.574673,1.065
61,507.5139342,1.065
62,508.4531954,1.063
63,509.3924566,1.063
64,510.33171780000004,1.062
65,511.270979,1.062
66,512.2102402,1.062
67,513.1495014,1.063
68,514.0887626,1.062
69,515.0280237999999,1.062
70,515.967285,1.063
71,516.9065462,1.063
72,517.8458074,1.066
73,518.7850685999999,1.066
74,519.7243298,1.066
75,520.663591,1.066
76,521.6028522,1.066
77,522.5421134000001,1.066
78,523.4813746,1.066
79,524.4206358,1.065
80,525.359897,1.065
81,526.2991582000001,1.063
82,527.2384194,1.062
83,528.1776806,1.062
